,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
30,30,L,,,0.811,0.62,,,93.39,66,1.06,0,39.405,,,4608,136,1.285,0.342,29,0.469,39.7,0.811,68.7,0.391,30.4,0.17,21,0.492,60.7,0.149,18.3,0.256,21.7,0.213,18.1,,68.7,43072
31,31,R,,,0.829,0.598,,,98.52,65,1.08,0.01,40.003,,-5.117,4672,131,1.218,0.369,30.2,0.46,37.6,0.829,67.8,0.342,28.1,0.136,16.4,0.511,61.6,0.182,22,0.213,17.4,0.247,20.2,,67.8,43670
32,32,L,,,0.88,0.582,,,101.69,61,1.07,0,40.585,,,4734,126,1.18,0.393,30.8,0.487,38.2,0.88,69,0.369,31.3,0.128,14.5,0.574,65.2,0.178,20.3,0.247,19.4,0.24,18.8,,69,44252
33,33,R,,,0.89,0.64,,,98.2,68,1.06,-0.01,41.225,,2.33,4802,129,1.222,0.396,30.8,0.494,38.4,0.89,69.2,0.393,32.2,0.16,18,0.522,58.7,0.208,23.3,0.24,18.6,0.254,19.7,,69.2,44892
34,34,L,,,0.89,0.636,,,94.04,67,1.06,0,41.861,,,4868,135,1.276,0.397,32.1,0.493,39.9,0.89,71.9,0.396,31,0.159,17.9,0.527,59.2,0.204,22.9,0.254,20.5,0.239,19.3,,71.9,45528
35,35,R,,,0.86,0.651,,,93.24,66,1.03,-0.01,42.512,,1.685,4934,133,1.287,0.347,28.6,0.513,42.2,0.86,70.8,0.397,30.8,0.129,15,0.531,61.7,0.2,23.3,0.239,19.7,0.274,22.6,,70.8,46179
36,36,L,,,0.892,0.586,,,97.01,61,1.03,0,43.098,,,4995,127,1.237,0.355,28.6,0.537,43.2,0.892,71.8,0.347,28.1,0.134,15,0.591,66.3,0.167,18.7,0.274,22.1,0.263,21.2,,71.8,46765
37,37,R,,,0.906,0.629,,,98.77,64,1.03,0,43.727,,1.009,5059,125,1.215,0.35,27.7,0.556,44,0.906,71.6,0.355,29.2,0.142,15.7,0.573,63.2,0.191,21.1,0.263,20.8,0.293,23.2,,71.6,47394
38,38,L,,,0.913,0.613,,,96.62,63,1.02,0,44.34,,,5121,127,1.242,0.359,27.9,0.554,43,0.913,70.9,0.35,28.2,0.156,17.1,0.571,62.5,0.186,20.4,0.293,22.8,0.261,20.3,,70.9,48007
39,39,R,,,0.9,0.652,,,94.86,65,1.01,0,44.992,,1.095,5186,128,1.265,0.374,29.2,0.526,41.1,0.9,70.4,0.359,28.4,0.144,16,0.553,61.4,0.203,22.6,0.261,20.4,0.265,20.7,,70.4,48659
